"state","race","sex","age","edu","total"
"01","black","male","50-59","no hs",12228
"01","black","male","50-59","hs",31493
"01","black","male","50-59","some college",18642
"01","black","male","50-59","4-year college",5828
"01","black","male","50-59","post-grad",3115
"01","black","male","60-69","no hs",12041
"01","black","male","60-69","hs",26858
"01","black","male","60-69","some college",17941
"01","black","male","60-69","4-year college",5844
"01","black","male","60-69","post-grad",4007
"01","black","male","70+","no hs",11509
"01","black","male","70+","hs",13449
"01","black","male","70+","some college",8655
"01","black","male","70+","4-year college",3976
"01","black","male","70+","post-grad",2774
"01","other","female","18-29","no hs",2550
"01","other","female","18-29","hs",7927
"01","other","female","18-29","some college",10732
"01","other","female","18-29","4-year college",3554
"01","other","female","18-29","post-grad",648
"01","other","female","30-39","no hs",1675
"01","other","female","30-39","hs",2984
"01","other","female","30-39","some college",5626
"01","other","female","30-39","4-year college",3847
"01","other","female","30-39","post-grad",2300
"01","other","female","40-49","no hs",1377
"01","other","female","40-49","hs",3080
"01","other","female","40-49","some college",5479
"01","other","female","40-49","4-year college",3311
"01","other","female","40-49","post-grad",2258
"01","other","female","50-59","no hs",2270
"01","other","female","50-59","hs",3569
"01","other","female","50-59","some college",4729
"01","other","female","50-59","4-year college",2976
"01","other","female","50-59","post-grad",2239
"01","other","female","60-69","no hs",2026
"01","other","female","60-69","hs",3264
"01","other","female","60-69","some college",3863
"01","other","female","60-69","4-year college",1968
"01","other","female","60-69","post-grad",1649
"01","other","female","70+","no hs",2824
"01","other","female","70+","hs",3870
"01","other","female","70+","some college",2087
"01","other","female","70+","4-year college",1369
"01","other","female","70+","post-grad",808
"01","other","male","18-29","no hs",5067
"01","other","male","18-29","hs",9304
"01","other","male","18-29","some college",10860
"01","other","male","18-29","4-year college",3003
"01","other","male","18-29","post-grad",597
"01","other","male","30-39","no hs",2649
"01","other","male","30-39","hs",4119
"01","other","male","30-39","some college",5484
"01","other","male","30-39","4-year college",2677
"01","other","male","30-39","post-grad",1993
"01","other","male","40-49","no hs",1861
"01","other","male","40-49","hs",2874
"01","other","male","40-49","some college",5582
"01","other","male","40-49","4-year college",1893
"01","other","male","40-49","post-grad",2216
"01","other","male","50-59","no hs",2402
"01","other","male","50-59","hs",3764
"01","other","male","50-59","some college",3369
"01","other","male","50-59","4-year college",1888
"01","other","male","50-59","post-grad",2336
"01","other","male","60-69","no hs",2266
"01","other","male","60-69","hs",2819
"01","other","male","60-69","some college",2714
"01","other","male","60-69","4-year college",1247
"01","other","male","60-69","post-grad",1550
"01","other","male","70+","no hs",1467
"01","other","male","70+","hs",1635
"01","other","male","70+","some college",1641
"01","other","male","70+","4-year college",1141
"01","other","male","70+","post-grad",905
"02","white","female","18-29","no hs",1930
"02","white","female","18-29","hs",9682
"02","white","female","18-29","some college",11426
"02","white","female","18-29","4-year college",6018
"02","white","female","18-29","post-grad",1662
"02","white","female","30-39","no hs",707
"02","white","female","30-39","hs",5018
"02","white","female","30-39","some college",11612
"02","white","female","30-39","4-year college",8135
"02","white","female","30-39","post-grad",6303
"02","white","female","40-49","no hs",503
"02","white","female","40-49","hs",4953
"02","white","female","40-49","some college",7412
"02","white","female","40-49","4-year college",6909
"02","white","female","40-49","post-grad",4910
"02","white","female","50-59","no hs",947
"02","white","female","50-59","hs",5880
"02","white","female","50-59","some college",9850
"02","white","female","50-59","4-year college",6379
"02","white","female","50-59","post-grad",3646
"02","white","female","60-69","no hs",1073
"02","white","female","60-69","hs",6615
"02","white","female","60-69","some college",9728
"02","white","female","60-69","4-year college",7380
"02","white","female","60-69","post-grad",4175
"02","white","female","70+","no hs",906
"02","white","female","70+","hs",5832
"02","white","female","70+","some college",6489
"02","white","female","70+","4-year college",4244
"02","white","female","70+","post-grad",3395
"02","white","male","18-29","no hs",3355
"02","white","male","18-29","hs",15247
"02","white","male","18-29","some college",15403
"02","white","male","18-29","4-year college",5297
"02","white","male","18-29","post-grad",1009
"02","white","male","30-39","no hs",1297
"02","white","male","30-39","hs",9430
"02","white","male","30-39","some college",13208
"02","white","male","30-39","4-year college",7799
"02","white","male","30-39","post-grad",3966
"02","white","male","40-49","no hs",674
"02","white","male","40-49","hs",7166
"02","white","male","40-49","some college",12641
"02","white","male","40-49","4-year college",6559
"02","white","male","40-49","post-grad",3581
"02","white","male","50-59","no hs",1441
"02","white","male","50-59","hs",8855
"02","white","male","50-59","some college",9941
"02","white","male","50-59","4-year college",6492
"02","white","male","50-59","post-grad",5150
"02","white","male","60-69","no hs",1644
"02","white","male","60-69","hs",8633
"02","white","male","60-69","some college",13032
"02","white","male","60-69","4-year college",5631
"02","white","male","60-69","post-grad",4474
"02","white","male","70+","no hs",844
"02","white","male","70+","hs",4141
"02","white","male","70+","some college",6951
"02","white","male","70+","4-year college",4261
"02","white","male","70+","post-grad",3933
"02","black","female","18-29","no hs",13
"02","black","female","18-29","hs",941
"02","black","female","18-29","some college",624
"02","black","female","18-29","4-year college",223
"02","black","female","18-29","post-grad",0
"02","black","female","30-39","no hs",1
"02","black","female","30-39","hs",117
"02","black","female","30-39","some college",388
"02","black","female","30-39","4-year college",300
"02","black","female","30-39","post-grad",183
"02","black","female","40-49","no hs",0
"02","black","female","40-49","hs",803
"02","black","female","40-49","some college",238
"02","black","female","40-49","4-year college",403
"02","black","female","40-49","post-grad",561
"02","black","female","50-59","no hs",28
"02","black","female","50-59","hs",352
"02","black","female","50-59","some college",231
"02","black","female","50-59","4-year college",112
"02","black","female","50-59","post-grad",67
"02","black","female","60-69","no hs",51
"02","black","female","60-69","hs",300
"02","black","female","60-69","some college",339
"02","black","female","60-69","4-year college",46
"02","black","female","60-69","post-grad",83
"02","black","female","70+","no hs",0
"02","black","female","70+","hs",101
"02","black","female","70+","some college",490
"02","black","female","70+","4-year college",124
"02","black","female","70+","post-grad",36
"02","black","male","18-29","no hs",408
"02","black","male","18-29","hs",1453
"02","black","male","18-29","some college",465
"02","black","male","18-29","4-year college",278
"02","black","male","18-29","post-grad",0
"02","black","male","30-39","no hs",185
"02","black","male","30-39","hs",1197
"02","black","male","30-39","some college",1048
"02","black","male","30-39","4-year college",58
"02","black","male","30-39","post-grad",207
"02","black","male","40-49","no hs",341
"02","black","male","40-49","hs",694
"02","black","male","40-49","some college",396
"02","black","male","40-49","4-year college",424
"02","black","male","40-49","post-grad",0
"02","black","male","50-59","no hs",36
"02","black","male","50-59","hs",977
"02","black","male","50-59","some college",740
"02","black","male","50-59","4-year college",192
"02","black","male","50-59","post-grad",160
"02","black","male","60-69","no hs",61
"02","black","male","60-69","hs",283
"02","black","male","60-69","some college",74
"02","black","male","60-69","4-year college",102
"02","black","male","60-69","post-grad",110
"02","black","male","70+","no hs",1
"02","black","male","70+","hs",68
"02","black","male","70+","some college",430
"02","black","male","70+","4-year college",94
"02","black","male","70+","post-grad",0
"02","other","female","18-29","no hs",2642
"02","other","female","18-29","hs",8395
"02","other","female","18-29","some college",8226
"02","other","female","18-29","4-year college",1633
"02","other","female","18-29","post-grad",181
"02","other","female","30-39","no hs",1645
"02","other","female","30-39","hs",5260
"02","other","female","30-39","some college",6416
"02","other","female","30-39","4-year college",3292
"02","other","female","30-39","post-grad",818
"02","other","female","40-49","no hs",936
"02","other","female","40-49","hs",3725
"02","other","female","40-49","some college",5080
"02","other","female","40-49","4-year college",2469
"02","other","female","40-49","post-grad",741
"02","other","female","50-59","no hs",1134
"02","other","female","50-59","hs",4002
"02","other","female","50-59","some college",4055
"02","other","female","50-59","4-year college",2042
"02","other","female","50-59","post-grad",942
"02","other","female","60-69","no hs",1467
"02","other","female","60-69","hs",3372
"02","other","female","60-69","some college",3596
"02","other","female","60-69","4-year college",1144
"02","other","female","60-69","post-grad",567
"02","other","female","70+","no hs",1854
"02","other","female","70+","hs",1901
"02","other","female","70+","some college",1752
"02","other","female","70+","4-year college",775
"02","other","female","70+","post-grad",249
"02","other","male","18-29","no hs",4549
"02","other","male","18-29","hs",11328
"02","other","male","18-29","some college",7816
"02","other","male","18-29","4-year college",1653
"02","other","male","18-29","post-grad",75
"02","other","male","30-39","no hs",2324
"02","other","male","30-39","hs",7533
"02","other","male","30-39","some college",5066
"02","other","male","30-39","4-year college",1452
"02","other","male","30-39","post-grad",623
"02","other","male","40-49","no hs",1381
"02","other","male","40-49","hs",5462
"02","other","male","40-49","some college",3428
"02","other","male","40-49","4-year college",1208
"02","other","male","40-49","post-grad",671
"02","other","male","50-59","no hs",1450
"02","other","male","50-59","hs",4673
"02","other","male","50-59","some college",4461
"02","other","male","50-59","4-year college",1364
"02","other","male","50-59","post-grad",431
"02","other","male","60-69","no hs",845
"02","other","male","60-69","hs",3662
"02","other","male","60-69","some college",2863
"02","other","male","60-69","4-year college",422
"02","other","male","60-69","post-grad",421
"02","other","male","70+","no hs",1137
"02","other","male","70+","hs",1865
"02","other","male","70+","some college",1505
"02","other","male","70+","4-year college",474
"02","other","male","70+","post-grad",271
"04","white","female","18-29","no hs",29410
"04","white","female","18-29","hs",84480
"04","white","female","18-29","some college",137674
"04","white","female","18-29","4-year college",67398
"04","white","female","18-29","post-grad",12628
"04","white","female","30-39","no hs",14627
"04","white","female","30-39","hs",43777
"04","white","female","30-39","some college",96639
"04","white","female","30-39","4-year college",70842
"04","white","female","30-39","post-grad",38584
"04","white","female","40-49","no hs",13602
"04","white","female","40-49","hs",42905
"04","white","female","40-49","some college",85877
"04","white","female","40-49","4-year college",61608
"04","white","female","40-49","post-grad",41990
"04","white","female","50-59","no hs",16842
"04","white","female","50-59","hs",61715
"04","white","female","50-59","some college",108027
"04","white","female","50-59","4-year college",59444
"04","white","female","50-59","post-grad",39686
"04","white","female","60-69","no hs",16104
"04","white","female","60-69","hs",75653
"04","white","female","60-69","some college",130931
"04","white","female","60-69","4-year college",64654
"04","white","female","60-69","post-grad",43907
"04","white","female","70+","no hs",32344
"04","white","female","70+","hs",118953
"04","white","female","70+","some college",138209
"04","white","female","70+","4-year college",64918
"04","white","female","70+","post-grad",48510
"04","white","male","18-29","no hs",39514
"04","white","male","18-29","hs",116613
"04","white","male","18-29","some college",132823
"04","white","male","18-29","4-year college",53974
"04","white","male","18-29","post-grad",9183
"04","white","male","30-39","no hs",19217
"04","white","male","30-39","hs",64537
"04","white","male","30-39","some college",99527
"04","white","male","30-39","4-year college",66731
"04","white","male","30-39","post-grad",31378
"04","white","male","40-49","no hs",19204
"04","white","male","40-49","hs",56942
"04","white","male","40-49","some college",88984
"04","white","male","40-49","4-year college",59931
"04","white","male","40-49","post-grad",35511
"04","white","male","50-59","no hs",23325
"04","white","male","50-59","hs",67736
"04","white","male","50-59","some college",96672
"04","white","male","50-59","4-year college",61144
"04","white","male","50-59","post-grad",35757
"04","white","male","60-69","no hs",17340
"04","white","male","60-69","hs",69043
"04","white","male","60-69","some college",106786
"04","white","male","60-69","4-year college",64456
"04","white","male","60-69","post-grad",42832
"04","white","male","70+","no hs",22062
"04","white","male","70+","hs",73705
"04","white","male","70+","some college",110382
"04","white","male","70+","4-year college",75037
"04","white","male","70+","post-grad",67463
"04","black","female","18-29","no hs",2432
"04","black","female","18-29","hs",8533
"04","black","female","18-29","some college",12565
"04","black","female","18-29","4-year college",3965
"04","black","female","18-29","post-grad",744
"04","black","female","30-39","no hs",1070
"04","black","female","30-39","hs",5099
"04","black","female","30-39","some college",9306
"04","black","female","30-39","4-year college",4336
"04","black","female","30-39","post-grad",3296
"04","black","female","40-49","no hs",1119
"04","black","female","40-49","hs",3412
"04","black","female","40-49","some college",6474
"04","black","female","40-49","4-year college",3940
"04","black","female","40-49","post-grad",3457
"04","black","female","50-59","no hs",1200
"04","black","female","50-59","hs",2766
"04","black","female","50-59","some college",6312
"04","black","female","50-59","4-year college",2773
"04","black","female","50-59","post-grad",1816
"04","black","female","60-69","no hs",1115
"04","black","female","60-69","hs",3473
"04","black","female","60-69","some college",6693
"04","black","female","60-69","4-year college",2714
"04","black","female","60-69","post-grad",1865
"04","black","female","70+","no hs",1230
"04","black","female","70+","hs",2264
"04","black","female","70+","some college",3807
"04","black","female","70+","4-year college",1464
"04","black","female","70+","post-grad",1218
"04","black","male","18-29","no hs",4055
"04","black","male","18-29","hs",12223
"04","black","male","18-29","some college",12670
"04","black","male","18-29","4-year college",4258
"04","black","male","18-29","post-grad",566
"04","black","male","30-39","no hs",2045
"04","black","male","30-39","hs",7540
"04","black","male","30-39","some college",9707
"04","black","male","30-39","4-year college",4155
"04","black","male","30-39","post-grad",1757
"04","black","male","40-49","no hs",1622
"04","black","male","40-49","hs",5525
"04","black","male","40-49","some college",8776
"04","black","male","40-49","4-year college",3263
"04","black","male","40-49","post-grad",2572
"04","black","male","50-59","no hs",1774
"04","black","male","50-59","hs",4387
"04","black","male","50-59","some college",6610
"04","black","male","50-59","4-year college",3482
"04","black","male","50-59","post-grad",1808
"04","black","male","60-69","no hs",1331
"04","black","male","60-69","hs",3131
"04","black","male","60-69","some college",6648
"04","black","male","60-69","4-year college",1735
"04","black","male","60-69","post-grad",1998
"04","black","male","70+","no hs",918
"04","black","male","70+","hs",2047
"04","black","male","70+","some college",2637
"04","black","male","70+","4-year college",1184
"04","black","male","70+","post-grad",1058
"04","other","female","18-29","no hs",23418
"04","other","female","18-29","hs",56833
"04","other","female","18-29","some college",70872
"04","other","female","18-29","4-year college",22717
"04","other","female","18-29","post-grad",4581
"04","other","female","30-39","no hs",11124
"04","other","female","30-39","hs",26331
"04","other","female","30-39","some college",41598
"04","other","female","30-39","4-year college",21802
"04","other","female","30-39","post-grad",11695
"04","other","female","40-49","no hs",13066
"04","other","female","40-49","hs",25719
"04","other","female","40-49","some college",32631
"04","other","female","40-49","4-year college",17773
"04","other","female","40-49","post-grad",12569
"04","other","female","50-59","no hs",13988
"04","other","female","50-59","hs",21937
"04","other","female","50-59","some college",27730
"04","other","female","50-59","4-year college",13136
"04","other","female","50-59","post-grad",7929
"04","other","female","60-69","no hs",14725
"04","other","female","60-69","hs",17732
"04","other","female","60-69","some college",23607
"04","other","female","60-69","4-year college",8426
"04","other","female","60-69","post-grad",5850
"04","other","female","70+","no hs",19879
"04","other","female","70+","hs",14601
"04","other","female","70+","some college",13369
"04","other","female","70+","4-year college",5126
"04","other","female","70+","post-grad",3410
"04","other","male","18-29","no hs",31815
"04","other","male","18-29","hs",72289
"04","other","male","18-29","some college",64766
"04","other","male","18-29","4-year college",18226
"04","other","male","18-29","post-grad",3558
"04","other","male","30-39","no hs",16404
"04","other","male","30-39","hs",36419
"04","other","male","30-39","some college",38875
"04","other","male","30-39","4-year college",18484
"04","other","male","30-39","post-grad",8766
"04","other","male","40-49","no hs",14380
"04","other","male","40-49","hs",27551
"04","other","male","40-49","some college",30482
"04","other","male","40-49","4-year college",15383
"04","other","male","40-49","post-grad",9973
"04","other","male","50-59","no hs",15816
"04","other","male","50-59","hs",23027
"04","other","male","50-59","some college",25359
"04","other","male","50-59","4-year college",10624
"04","other","male","50-59","post-grad",7596
"04","other","male","60-69","no hs",12770
"04","other","male","60-69","hs",16293
"04","other","male","60-69","some college",17506
"04","other","male","60-69","4-year college",7137
"04","other","male","60-69","post-grad",5466
"04","other","male","70+","no hs",12675
"04","other","male","70+","hs",9808
"04","other","male","70+","some college",11630
"04","other","male","70+","4-year college",4302
"04","other","male","70+","post-grad",4516
"05","white","female","18-29","no hs",12728
"05","white","female","18-29","hs",45126
"05","white","female","18-29","some college",66577
"05","white","female","18-29","4-year college",27926
"05","white","female","18-29","post-grad",5717
"05","white","female","30-39","no hs",8566
"05","white","female","30-39","hs",33841
"05","white","female","30-39","some college",43936
"05","white","female","30-39","4-year college",27424
"05","white","female","30-39","post-grad",17804
"05","white","female","40-49","no hs",7851
"05","white","female","40-49","hs",32947
"05","white","female","40-49","some college",44570
"05","white","female","40-49","4-year college",26826
"05","white","female","40-49","post-grad",16273
"05","white","female","50-59","no hs",11689
"05","white","female","50-59","hs",45122
"05","white","female","50-59","some college",45711
"05","white","female","50-59","4-year college",24897
"05","white","female","50-59","post-grad",12648
"05","white","female","60-69","no hs",12947
"05","white","female","60-69","hs",53824
"05","white","female","60-69","some college",45959
"05","white","female","60-69","4-year college",20755
"05","white","female","60-69","post-grad",12454
"05","white","female","70+","no hs",24219
"05","white","female","70+","hs",69600
"05","white","female","70+","some college",44922
"05","white","female","70+","4-year college",18212
"05","white","female","70+","post-grad",13920
"05","white","male","18-29","no hs",16879
"05","white","male","18-29","hs",64611
"05","white","male","18-29","some college",57487
"05","white","male","18-29","4-year college",20216
"05","white","male","18-29","post-grad",4735
"05","white","male","30-39","no hs",9842
"05","white","male","30-39","hs",47086
"05","white","male","30-39","some college",40385
"05","white","male","30-39","4-year college",25057
"05","white","male","30-39","post-grad",11184
"05","white","male","40-49","no hs",10951
"05","white","male","40-49","hs",46137
"05","white","male","40-49","some college",39939
"05","white","male","40-49","4-year college",20759
"05","white","male","40-49","post-grad",12453
"05","white","male","50-59","no hs",17003
"05","white","male","50-59","hs",54987
"05","white","male","50-59","some college",37040
"05","white","male","50-59","4-year college",21013
"05","white","male","50-59","post-grad",11222
"05","white","male","60-69","no hs",16750
"05","white","male","60-69","hs",53691
"05","white","male","60-69","some college",35162
"05","white","male","60-69","4-year college",18556
"05","white","male","60-69","post-grad",11627
"05","white","male","70+","no hs",19440
"05","white","male","70+","hs",44757
"05","white","male","70+","some college",35452
"05","white","male","70+","4-year college",19568
"05","white","male","70+","post-grad",14028
"05","black","female","18-29","no hs",3769
"05","black","female","18-29","hs",16872
"05","black","female","18-29","some college",18521
"05","black","female","18-29","4-year college",3815
"05","black","female","18-29","post-grad",646
"05","black","female","30-39","no hs",1955
"05","black","female","30-39","hs",9640
"05","black","female","30-39","some college",13416
"05","black","female","30-39","4-year college",4956
"05","black","female","30-39","post-grad",3114
"05","black","female","40-49","no hs",1957
"05","black","female","40-49","hs",7930
"05","black","female","40-49","some college",10920
"05","black","female","40-49","4-year college",4032
"05","black","female","40-49","post-grad",3690
"05","black","female","50-59","no hs",3433
"05","black","female","50-59","hs",10356
"05","black","female","50-59","some college",9479
"05","black","female","50-59","4-year college",3465
"05","black","female","50-59","post-grad",1735
"05","black","female","60-69","no hs",3973
"05","black","female","60-69","hs",8738
"05","black","female","60-69","some college",7764
"05","black","female","60-69","4-year college",2992
"05","black","female","60-69","post-grad",2317
"05","black","female","70+","no hs",6385
"05","black","female","70+","hs",5696
"05","black","female","70+","some college",3933
"05","black","female","70+","4-year college",1946
"05","black","female","70+","post-grad",1001
"05","black","male","18-29","no hs",4783
"05","black","male","18-29","hs",20257
"05","black","male","18-29","some college",15141
"05","black","male","18-29","4-year college",1906
"05","black","male","18-29","post-grad",174
"05","black","male","30-39","no hs",3789
"05","black","male","30-39","hs",12118
"05","black","male","30-39","some college",8036
"05","black","male","30-39","4-year college",3381
"05","black","male","30-39","post-grad",1175
"05","black","male","40-49","no hs",2528
"05","black","male","40-49","hs",11480
"05","black","male","40-49","some college",7547
"05","black","male","40-49","4-year college",2324
"05","black","male","40-49","post-grad",1795
"05","black","male","50-59","no hs",3611
"05","black","male","50-59","hs",12037
"05","black","male","50-59","some college",6676
"05","black","male","50-59","4-year college",1903
"05","black","male","50-59","post-grad",1125
"05","black","male","60-69","no hs",3631
"05","black","male","60-69","hs",9231
"05","black","male","60-69","some college",5292
"05","black","male","60-69","4-year college",1644
"05","black","male","60-69","post-grad",925
"05","black","male","70+","no hs",4064
"05","black","male","70+","hs",3915
"05","black","male","70+","some college",2794
"05","black","male","70+","4-year college",1241
"05","black","male","70+","post-grad",875
"05","other","female","18-29","no hs",3062
"05","other","female","18-29","hs",9515
"05","other","female","18-29","some college",9724
"05","other","female","18-29","4-year college",3211
"05","other","female","18-29","post-grad",803
"05","other","female","30-39","no hs",1687
"05","other","female","30-39","hs",4611
"05","other","female","30-39","some college",5789
"05","other","female","30-39","4-year college",3277
"05","other","female","30-39","post-grad",1700
"05","other","female","40-49","no hs",1776
"05","other","female","40-49","hs",4361
"05","other","female","40-49","some college",4754
"05","other","female","40-49","4-year college",2525
"05","other","female","40-49","post-grad",1539
"05","other","female","50-59","no hs",2337
"05","other","female","50-59","hs",4125
"05","other","female","50-59","some college",4976
"05","other","female","50-59","4-year college",1621
"05","other","female","50-59","post-grad",1350
"05","other","female","60-69","no hs",2046
"05","other","female","60-69","hs",3934
"05","other","female","60-69","some college",3101
"05","other","female","60-69","4-year college",1175
"05","other","female","60-69","post-grad",468
"05","other","female","70+","no hs",1898
"05","other","female","70+","hs",3319
"05","other","female","70+","some college",1472
"05","other","female","70+","4-year college",587
"05","other","female","70+","post-grad",430
"05","other","male","18-29","no hs",4661
"05","other","male","18-29","hs",12118
"05","other","male","18-29","some college",10917
"05","other","male","18-29","4-year college",2311
"05","other","male","18-29","post-grad",533
"05","other","male","30-39","no hs",2163
"05","other","male","30-39","hs",5922
"05","other","male","30-39","some college",4364
"05","other","male","30-39","4-year college",2783
"05","other","male","30-39","post-grad",1534
"05","other","male","40-49","no hs",2342
"05","other","male","40-49","hs",5797
"05","other","male","40-49","some college",3456
"05","other","male","40-49","4-year college",1338
"05","other","male","40-49","post-grad",1542
"05","other","male","50-59","no hs",3491
"05","other","male","50-59","hs",5074
"05","other","male","50-59","some college",3226
"05","other","male","50-59","4-year college",2015
"05","other","male","50-59","post-grad",1355
"05","other","male","60-69","no hs",1797
"05","other","male","60-69","hs",3684
"05","other","male","60-69","some college",2520
"05","other","male","60-69","4-year college",1421
"05","other","male","60-69","post-grad",687
"05","other","male","70+","no hs",1654
"05","other","male","70+","hs",2242
"05","other","male","70+","some college",1227
"05","other","male","70+","4-year college",790
"05","other","male","70+","post-grad",618
"06","white","female","18-29","no hs",77635
"06","white","female","18-29","hs",308567
"06","white","female","18-29","some college",561453
"06","white","female","18-29","4-year college",305267
"06","white","female","18-29","post-grad",67621
"06","white","female","30-39","no hs",51723
"06","white","female","30-39","hs",166243
"06","white","female","30-39","some college",344813
"06","white","female","30-39","4-year college",350927
"06","white","female","30-39","post-grad",201784
"06","white","female","40-49","no hs",59008
"06","white","female","40-49","hs",148132
"06","white","female","40-49","some college",299939
"06","white","female","40-49","4-year college",268857
"06","white","female","40-49","post-grad",200829
"06","white","female","50-59","no hs",84399
"06","white","female","50-59","hs",213466
"06","white","female","50-59","some college",382269
"06","white","female","50-59","4-year college",275016
"06","white","female","50-59","post-grad",180083
"06","white","female","60-69","no hs",80222
"06","white","female","60-69","hs",226626
"06","white","female","60-69","some college",426465
"06","white","female","60-69","4-year college",245917
"06","white","female","60-69","post-grad",180558
"06","white","female","70+","no hs",139287
"06","white","female","70+","hs",330817
"06","white","female","70+","some college",440550
"06","white","female","70+","4-year college",245003
"06","white","female","70+","post-grad",189656
"06","white","male","18-29","no hs",111541
"06","white","male","18-29","hs",432749
"06","white","male","18-29","some college",558349
"06","white","male","18-29","4-year college",266676
"06","white","male","18-29","post-grad",43190
"06","white","male","30-39","no hs",74923
"06","white","male","30-39","hs",246323
"06","white","male","30-39","some college",369513
"06","white","male","30-39","4-year college",342328
"06","white","male","30-39","post-grad",163579
"06","white","male","40-49","no hs",76361
"06","white","male","40-49","hs",196543
"06","white","male","40-49","some college",310178
"06","white","male","40-49","4-year college",268333
"06","white","male","40-49","post-grad",178498
"06","white","male","50-59","no hs",106818
"06","white","male","50-59","hs",247833
"06","white","male","50-59","some college",351505
"06","white","male","50-59","4-year college",285177
"06","white","male","50-59","post-grad",189738
"06","white","male","60-69","no hs",83042
"06","white","male","60-69","hs",221293
"06","white","male","60-69","some college",371800
"06","white","male","60-69","4-year college",257551
"06","white","male","60-69","post-grad",198679
"06","white","male","70+","no hs",88358
"06","white","male","70+","hs",183326
"06","white","male","70+","some college",319310
"06","white","male","70+","4-year college",231675
"06","white","male","70+","post-grad",243467
"06","black","female","18-29","no hs",13592
"06","black","female","18-29","hs",53342
"06","black","female","18-29","some college",82831
"06","black","female","18-29","4-year college",29577
"06","black","female","18-29","post-grad",6189
"06","black","female","30-39","no hs",9323
"06","black","female","30-39","hs",30046
"06","black","female","30-39","some college",54843
