"sex","race","age","zip","time","date","tests","cases"
"male","white","0-17","48005",5,"2020-01-27",13,0
"male","white","0-17","48005",5,"2020-01-27",10,0
"male","white","0-17","48005",5,"2020-01-27",24,1
"male","white","0-17","48005",5,"2020-01-27",5,0
"male","white","0-17","48005",5,"2020-01-27",2,0
"male","white","0-17","48006",6,"2020-02-03",5,0
"male","white","0-17","48006",6,"2020-02-03",14,0
"male","white","0-17","48006",6,"2020-02-03",2,0
"male","white","0-17","48006",6,"2020-02-03",45,0
"male","white","0-17","48006",6,"2020-02-03",2,0
"male","white","0-17","48006",6,"2020-02-03",8,0
"male","white","0-17","48006",6,"2020-02-03",7,0
"male","white","0-17","48006",6,"2020-02-03",15,0
"male","white","0-17","48006",6,"2020-02-03",3,1
"male","white","0-17","48006",6,"2020-02-03",1,0
"male","white","0-17","48009",7,"2020-02-10",1,0
"male","white","0-17","48009",7,"2020-02-10",4,0
"male","white","0-17","48009",7,"2020-02-10",15,0
"male","white","0-17","48009",7,"2020-02-10",2,1
"male","white","0-17","48009",7,"2020-02-10",2,0
"male","white","0-17","48009",7,"2020-02-10",5,0
"male","white","0-17","48009",7,"2020-02-10",1,0
"male","white","0-17","48012",8,"2020-02-17",4,0
"male","white","0-17","48012",8,"2020-02-17",11,0
"male","white","0-17","48012",8,"2020-02-17",1,0
"male","white","0-17","48012",8,"2020-02-17",34,1
"male","white","0-17","48012",8,"2020-02-17",2,0
"male","white","0-17","48012",8,"2020-02-17",6,0
"male","white","0-17","48012",8,"2020-02-17",5,0
"male","white","0-17","48012",8,"2020-02-17",12,0
"male","white","0-17","48012",8,"2020-02-17",2,0
"male","white","0-17","48012",8,"2020-02-17",1,0
"male","white","0-17","48014",9,"2020-02-24",22,0
"male","white","0-17","48014",9,"2020-02-24",61,1
"male","white","0-17","48014",9,"2020-02-24",10,0
"male","white","0-17","48014",9,"2020-02-24",192,2
"male","white","0-17","48014",9,"2020-02-24",11,1
"male","white","0-17","48014",9,"2020-02-24",37,0
"male","white","0-17","48014",9,"2020-02-24",29,1
"male","white","0-17","48014",9,"2020-02-24",67,1
"male","white","0-17","48014",9,"2020-02-24",15,0
"male","white","0-17","48014",9,"2020-02-24",5,0
"male","white","0-17","48015",10,"2020-03-02",6,1
"male","white","0-17","48015",10,"2020-03-02",17,1
"male","white","0-17","48015",10,"2020-03-02",3,0
"male","white","0-17","48015",10,"2020-03-02",54,1
"male","white","0-17","48015",10,"2020-03-02",3,0
"male","white","0-17","48015",10,"2020-03-02",10,0
"male","white","0-17","48015",10,"2020-03-02",8,0
"male","white","0-17","48015",10,"2020-03-02",19,0
"male","white","0-17","48015",10,"2020-03-02",4,0
"male","white","0-17","48015",10,"2020-03-02",1,0
"male","white","0-17","48017",11,"2020-03-09",18,0
"male","white","0-17","48017",11,"2020-03-09",49,0
"male","white","0-17","48017",11,"2020-03-09",8,0
"male","white","0-17","48017",11,"2020-03-09",154,4
"male","white","0-17","48017",11,"2020-03-09",9,0
"male","white","0-17","48017",11,"2020-03-09",30,0
"male","white","0-17","48017",11,"2020-03-09",23,0
"male","white","0-17","48017",11,"2020-03-09",54,1
"male","white","0-17","48017",11,"2020-03-09",12,0
"male","white","0-17","48017",11,"2020-03-09",4,0
"male","white","0-17","48021",12,"2020-03-16",1,0
"male","white","0-17","48021",12,"2020-03-16",3,0
"male","white","0-17","48021",12,"2020-03-16",9,0
"male","white","0-17","48021",12,"2020-03-16",1,1
"male","white","0-17","48021",12,"2020-03-16",1,0
"male","white","0-17","48021",12,"2020-03-16",3,0
"male","white","0-17","48022",13,"2020-03-23",4,1
"male","white","0-17","48022",13,"2020-03-23",13,1
"male","white","0-17","48022",13,"2020-03-23",2,0
"male","white","0-17","48022",13,"2020-03-23",41,2
"male","white","0-17","48022",13,"2020-03-23",2,0
"male","white","0-17","48022",13,"2020-03-23",8,0
"male","white","0-17","48022",13,"2020-03-23",6,0
"male","white","0-17","48022",13,"2020-03-23",14,1
"male","white","0-17","48022",13,"2020-03-23",3,0
"male","white","0-17","48022",13,"2020-03-23",1,0
"male","white","0-17","48023",14,"2020-03-30",28,2
"male","white","0-17","48023",14,"2020-03-30",76,3
"male","white","0-17","48023",14,"2020-03-30",13,0
"male","white","0-17","48023",14,"2020-03-30",239,5
"male","white","0-17","48023",14,"2020-03-30",14,0
"male","white","0-17","48023",14,"2020-03-30",46,0
"male","white","0-17","48023",14,"2020-03-30",37,0
"male","white","0-17","48023",14,"2020-03-30",84,1
"male","white","0-17","48023",14,"2020-03-30",19,0
"male","white","0-17","48023",14,"2020-03-30",7,0
"male","white","0-17","48025",15,"2020-04-06",12,0
"male","white","0-17","48025",15,"2020-04-06",32,0
"male","white","0-17","48025",15,"2020-04-06",5,0
"male","white","0-17","48025",15,"2020-04-06",101,1
"male","white","0-17","48025",15,"2020-04-06",6,0
"male","white","0-17","48025",15,"2020-04-06",19,0
"male","white","0-17","48025",15,"2020-04-06",15,0
"male","white","0-17","48025",15,"2020-04-06",35,1
"male","white","0-17","48025",15,"2020-04-06",8,0
"male","white","0-17","48025",15,"2020-04-06",3,0
"male","white","0-17","48026",16,"2020-04-13",13,0
"male","white","0-17","48026",16,"2020-04-13",36,1
"male","white","0-17","48026",16,"2020-04-13",6,0
"male","white","0-17","48026",16,"2020-04-13",111,3
"male","white","0-17","48026",16,"2020-04-13",6,0
"male","white","0-17","48026",16,"2020-04-13",21,1
"male","white","0-17","48026",16,"2020-04-13",17,0
"male","white","0-17","48026",16,"2020-04-13",39,2
"male","white","0-17","48026",16,"2020-04-13",8,0
"male","white","0-17","48026",16,"2020-04-13",3,0
"male","white","0-17","48027",17,"2020-04-20",7,0
"male","white","0-17","48027",17,"2020-04-20",20,0
"male","white","0-17","48027",17,"2020-04-20",3,0
"male","white","0-17","48027",17,"2020-04-20",62,1
"male","white","0-17","48027",17,"2020-04-20",3,0
"male","white","0-17","48027",17,"2020-04-20",12,0
"male","white","0-17","48027",17,"2020-04-20",9,0
"male","white","0-17","48027",17,"2020-04-20",22,1
"male","white","0-17","48027",17,"2020-04-20",5,0
"male","white","0-17","48027",17,"2020-04-20",1,0
"male","white","0-17","48028",18,"2020-04-27",5,0
"male","white","0-17","48028",18,"2020-04-27",14,1
"male","white","0-17","48028",18,"2020-04-27",2,0
"male","white","0-17","48028",18,"2020-04-27",44,0
"male","white","0-17","48028",18,"2020-04-27",2,0
"male","white","0-17","48028",18,"2020-04-27",8,0
"male","white","0-17","48028",18,"2020-04-27",6,0
"male","white","0-17","48028",18,"2020-04-27",15,0
"male","white","0-17","48028",18,"2020-04-27",3,0
"male","white","0-17","48028",18,"2020-04-27",1,0
"male","white","0-17","48030",19,"2020-05-04",10,0
"male","white","0-17","48030",19,"2020-05-04",28,2
"male","white","0-17","48030",19,"2020-05-04",5,0
"male","white","0-17","48030",19,"2020-05-04",89,5
"male","white","0-17","48030",19,"2020-05-04",5,0
"male","white","0-17","48030",19,"2020-05-04",17,0
"male","white","0-17","48030",19,"2020-05-04",13,0
"male","white","0-17","48030",19,"2020-05-04",31,1
"male","white","0-17","48030",19,"2020-05-04",7,1
"male","white","0-17","48030",19,"2020-05-04",2,0
"male","white","0-17","48032",20,"2020-05-11",4,1
"male","white","0-17","48032",20,"2020-05-11",12,2
"male","white","0-17","48032",20,"2020-05-11",2,0
"male","white","0-17","48032",20,"2020-05-11",38,3
"male","white","0-17","48032",20,"2020-05-11",2,0
"male","white","0-17","48032",20,"2020-05-11",7,1
"male","white","0-17","48032",20,"2020-05-11",5,0
"male","white","0-17","48032",20,"2020-05-11",13,1
"male","white","0-17","48032",20,"2020-05-11",3,0
"male","white","0-17","48032",20,"2020-05-11",1,0
"male","white","0-17","48033",21,"2020-05-18",3,0
"male","white","0-17","48033",21,"2020-05-18",10,0
"male","white","0-17","48033",21,"2020-05-18",1,0
"male","white","0-17","48033",21,"2020-05-18",31,0
"male","white","0-17","48033",21,"2020-05-18",1,0
"male","white","0-17","48033",21,"2020-05-18",6,0
"male","white","0-17","48033",21,"2020-05-18",4,0
"male","white","0-17","48033",21,"2020-05-18",11,0
"male","white","0-17","48033",21,"2020-05-18",2,0
"male","white","0-17","48034",22,"2020-05-25",3,0
"male","white","0-17","48034",22,"2020-05-25",8,0
"male","white","0-17","48034",22,"2020-05-25",1,0
"male","white","0-17","48034",22,"2020-05-25",26,3
"male","white","0-17","48034",22,"2020-05-25",1,0
"male","white","0-17","48034",22,"2020-05-25",5,0
"male","white","0-17","48034",22,"2020-05-25",4,0
"male","white","0-17","48034",22,"2020-05-25",9,0
"male","white","0-17","48034",22,"2020-05-25",2,0
"male","white","0-17","48035",23,"2020-06-01",5,0
"male","white","0-17","48035",23,"2020-06-01",14,0
"male","white","0-17","48035",23,"2020-06-01",2,1
"male","white","0-17","48035",23,"2020-06-01",44,0
"male","white","0-17","48035",23,"2020-06-01",2,1
"male","white","0-17","48035",23,"2020-06-01",8,0
"male","white","0-17","48035",23,"2020-06-01",6,1
"male","white","0-17","48035",23,"2020-06-01",15,0
"male","white","0-17","48035",23,"2020-06-01",3,0
"male","white","0-17","48035",23,"2020-06-01",1,0
"male","white","0-17","48036",24,"2020-06-08",5,0
"male","white","0-17","48036",24,"2020-06-08",15,0
"male","white","0-17","48036",24,"2020-06-08",2,0
"male","white","0-17","48036",24,"2020-06-08",48,2
"male","white","0-17","48036",24,"2020-06-08",2,0
"male","white","0-17","48036",24,"2020-06-08",9,0
"male","white","0-17","48036",24,"2020-06-08",7,0
"male","white","0-17","48036",24,"2020-06-08",17,1
"male","white","0-17","48036",24,"2020-06-08",3,0
"male","white","0-17","48036",24,"2020-06-08",1,0
"male","white","0-17","48037",25,"2020-06-15",4,0
"male","white","0-17","48037",25,"2020-06-15",11,0
"male","white","0-17","48037",25,"2020-06-15",2,0
"male","white","0-17","48037",25,"2020-06-15",35,1
"male","white","0-17","48037",25,"2020-06-15",2,0
"male","white","0-17","48037",25,"2020-06-15",7,0
"male","white","0-17","48037",25,"2020-06-15",5,0
"male","white","0-17","48037",25,"2020-06-15",12,0
"male","white","0-17","48037",25,"2020-06-15",2,0
"male","white","0-17","48037",25,"2020-06-15",1,0
"male","white","0-17","48038",26,"2020-06-22",1,0
"male","white","0-17","48038",26,"2020-06-22",3,0
"male","white","0-17","48038",26,"2020-06-22",11,0
"male","white","0-17","48038",26,"2020-06-22",2,0
"male","white","0-17","48038",26,"2020-06-22",1,0
"male","white","0-17","48038",26,"2020-06-22",4,0
"male","white","0-17","48039",27,"2020-06-29",7,0
"male","white","0-17","48039",27,"2020-06-29",19,1
"male","white","0-17","48039",27,"2020-06-29",3,0
"male","white","0-17","48039",27,"2020-06-29",60,0
"male","white","0-17","48039",27,"2020-06-29",3,0
"male","white","0-17","48039",27,"2020-06-29",11,0
"male","white","0-17","48039",27,"2020-06-29",9,0
"male","white","0-17","48039",27,"2020-06-29",21,0
"male","white","0-17","48039",27,"2020-06-29",4,0
"male","white","0-17","48039",27,"2020-06-29",1,0
"male","white","0-17","48040",28,"2020-07-06",5,0
"male","white","0-17","48040",28,"2020-07-06",14,0
"male","white","0-17","48040",28,"2020-07-06",2,0
"male","white","0-17","48040",28,"2020-07-06",45,1
"male","white","0-17","48040",28,"2020-07-06",2,0
"male","white","0-17","48040",28,"2020-07-06",8,1
"male","white","0-17","48040",28,"2020-07-06",7,0
"male","white","0-17","48040",28,"2020-07-06",16,0
"male","white","0-17","48040",28,"2020-07-06",3,0
"male","white","0-17","48040",28,"2020-07-06",1,0
"male","white","0-17","48041",29,"2020-07-13",14,1
"male","white","0-17","48041",29,"2020-07-13",37,0
"male","white","0-17","48041",29,"2020-07-13",6,0
"male","white","0-17","48041",29,"2020-07-13",117,1
"male","white","0-17","48041",29,"2020-07-13",7,0
"male","white","0-17","48041",29,"2020-07-13",23,1
"male","white","0-17","48041",29,"2020-07-13",18,0
"male","white","0-17","48041",29,"2020-07-13",41,0
"male","white","0-17","48041",29,"2020-07-13",9,0
"male","white","0-17","48041",29,"2020-07-13",3,0
"male","white","0-17","48042",30,"2020-07-20",3,0
"male","white","0-17","48042",30,"2020-07-20",8,0
"male","white","0-17","48042",30,"2020-07-20",1,0
"male","white","0-17","48042",30,"2020-07-20",25,0
"male","white","0-17","48042",30,"2020-07-20",1,0
"male","white","0-17","48042",30,"2020-07-20",5,0
"male","white","0-17","48042",30,"2020-07-20",4,1
"male","white","0-17","48042",30,"2020-07-20",9,0
"male","white","0-17","48042",30,"2020-07-20",2,0
"male","black","0-17","48001",1,"2019-12-30",22,0
"male","black","0-17","48001",1,"2019-12-30",59,0
"male","black","0-17","48001",1,"2019-12-30",10,0
"male","black","0-17","48001",1,"2019-12-30",185,1
"male","black","0-17","48001",1,"2019-12-30",11,0
"male","black","0-17","48001",1,"2019-12-30",36,0
"male","black","0-17","48001",1,"2019-12-30",28,0
"male","black","0-17","48001",1,"2019-12-30",65,1
"male","black","0-17","48001",1,"2019-12-30",14,0
"male","black","0-17","48001",1,"2019-12-30",5,0
"male","black","0-17","48002",2,"2020-01-06",21,0
"male","black","0-17","48002",2,"2020-01-06",59,0
"male","black","0-17","48002",2,"2020-01-06",10,0
"male","black","0-17","48002",2,"2020-01-06",184,1
"male","black","0-17","48002",2,"2020-01-06",11,0
"male","black","0-17","48002",2,"2020-01-06",36,0
"male","black","0-17","48002",2,"2020-01-06",28,1
"male","black","0-17","48002",2,"2020-01-06",64,2
"male","black","0-17","48002",2,"2020-01-06",14,1
"male","black","0-17","48002",2,"2020-01-06",5,0
"male","black","0-17","48003",3,"2020-01-13",6,0
"male","black","0-17","48003",3,"2020-01-13",18,0
"male","black","0-17","48003",3,"2020-01-13",3,0
"male","black","0-17","48003",3,"2020-01-13",56,3
"male","black","0-17","48003",3,"2020-01-13",3,0
"male","black","0-17","48003",3,"2020-01-13",11,0
"male","black","0-17","48003",3,"2020-01-13",8,1
"male","black","0-17","48003",3,"2020-01-13",19,0
"male","black","0-17","48003",3,"2020-01-13",4,0
"male","black","0-17","48003",3,"2020-01-13",1,0
"male","black","0-17","48004",4,"2020-01-20",8,0
"male","black","0-17","48004",4,"2020-01-20",23,0
"male","black","0-17","48004",4,"2020-01-20",4,1
"male","black","0-17","48004",4,"2020-01-20",72,1
"male","black","0-17","48004",4,"2020-01-20",4,0
"male","black","0-17","48004",4,"2020-01-20",14,0
"male","black","0-17","48004",4,"2020-01-20",11,1
"male","black","0-17","48004",4,"2020-01-20",25,0
"male","black","0-17","48004",4,"2020-01-20",5,0
"male","black","0-17","48004",4,"2020-01-20",2,0
"male","black","0-17","48005",5,"2020-01-27",9,0
"male","black","0-17","48005",5,"2020-01-27",25,0
"male","black","0-17","48005",5,"2020-01-27",4,0
"male","black","0-17","48005",5,"2020-01-27",79,1
"male","black","0-17","48005",5,"2020-01-27",4,0
"male","black","0-17","48005",5,"2020-01-27",15,0
"male","black","0-17","48005",5,"2020-01-27",12,0
"male","black","0-17","48005",5,"2020-01-27",27,0
"male","black","0-17","48005",5,"2020-01-27",6,0
"male","black","0-17","48005",5,"2020-01-27",2,0
"male","black","0-17","48006",6,"2020-02-03",6,0
"male","black","0-17","48006",6,"2020-02-03",16,0
"male","black","0-17","48006",6,"2020-02-03",2,0
"male","black","0-17","48006",6,"2020-02-03",51,1
"male","black","0-17","48006",6,"2020-02-03",3,0
"male","black","0-17","48006",6,"2020-02-03",10,0
"male","black","0-17","48006",6,"2020-02-03",8,0
"male","black","0-17","48006",6,"2020-02-03",18,2
"male","black","0-17","48006",6,"2020-02-03",4,0
"male","black","0-17","48006",6,"2020-02-03",1,0
"male","black","0-17","48009",7,"2020-02-10",2,0
"male","black","0-17","48009",7,"2020-02-10",5,0
"male","black","0-17","48009",7,"2020-02-10",17,2
"male","black","0-17","48009",7,"2020-02-10",1,0
"male","black","0-17","48009",7,"2020-02-10",3,0
"male","black","0-17","48009",7,"2020-02-10",2,0
"male","black","0-17","48009",7,"2020-02-10",6,0
"male","black","0-17","48009",7,"2020-02-10",1,0
"male","black","0-17","48012",8,"2020-02-17",4,0
"male","black","0-17","48012",8,"2020-02-17",12,0
"male","black","0-17","48012",8,"2020-02-17",2,0
"male","black","0-17","48012",8,"2020-02-17",39,0
"male","black","0-17","48012",8,"2020-02-17",2,0
"male","black","0-17","48012",8,"2020-02-17",7,0
"male","black","0-17","48012",8,"2020-02-17",6,0
"male","black","0-17","48012",8,"2020-02-17",13,0
"male","black","0-17","48012",8,"2020-02-17",3,0
"male","black","0-17","48012",8,"2020-02-17",1,0
"male","black","0-17","48014",9,"2020-02-24",26,0
"male","black","0-17","48014",9,"2020-02-24",70,0
"male","black","0-17","48014",9,"2020-02-24",12,0
"male","black","0-17","48014",9,"2020-02-24",218,1
"male","black","0-17","48014",9,"2020-02-24",13,0
"male","black","0-17","48014",9,"2020-02-24",42,1
"male","black","0-17","48014",9,"2020-02-24",33,1
"male","black","0-17","48014",9,"2020-02-24",76,1
"male","black","0-17","48014",9,"2020-02-24",17,1
"male","black","0-17","48014",9,"2020-02-24",6,0
"male","black","0-17","48015",10,"2020-03-02",7,0
"male","black","0-17","48015",10,"2020-03-02",19,0
"male","black","0-17","48015",10,"2020-03-02",3,0
"male","black","0-17","48015",10,"2020-03-02",61,0
"male","black","0-17","48015",10,"2020-03-02",3,0
"male","black","0-17","48015",10,"2020-03-02",12,0
"male","black","0-17","48015",10,"2020-03-02",9,0
"male","black","0-17","48015",10,"2020-03-02",21,2
"male","black","0-17","48015",10,"2020-03-02",4,0
"male","black","0-17","48015",10,"2020-03-02",1,0
"male","black","0-17","48017",11,"2020-03-09",20,0
"male","black","0-17","48017",11,"2020-03-09",56,2
"male","black","0-17","48017",11,"2020-03-09",9,0
"male","black","0-17","48017",11,"2020-03-09",174,5
"male","black","0-17","48017",11,"2020-03-09",10,0
"male","black","0-17","48017",11,"2020-03-09",34,1
"male","black","0-17","48017",11,"2020-03-09",27,0
"male","black","0-17","48017",11,"2020-03-09",61,0
"male","black","0-17","48017",11,"2020-03-09",13,0
"male","black","0-17","48017",11,"2020-03-09",5,0
"male","black","0-17","48021",12,"2020-03-16",1,0
"male","black","0-17","48021",12,"2020-03-16",3,0
"male","black","0-17","48021",12,"2020-03-16",10,0
"male","black","0-17","48021",12,"2020-03-16",2,0
"male","black","0-17","48021",12,"2020-03-16",1,0
"male","black","0-17","48021",12,"2020-03-16",3,0
"male","black","0-17","48022",13,"2020-03-23",5,0
"male","black","0-17","48022",13,"2020-03-23",15,0
"male","black","0-17","48022",13,"2020-03-23",2,0
"male","black","0-17","48022",13,"2020-03-23",46,1
"male","black","0-17","48022",13,"2020-03-23",2,0
"male","black","0-17","48022",13,"2020-03-23",9,1
"male","black","0-17","48022",13,"2020-03-23",7,0
"male","black","0-17","48022",13,"2020-03-23",16,3
"male","black","0-17","48022",13,"2020-03-23",3,0
"male","black","0-17","48022",13,"2020-03-23",1,0
"male","black","0-17","48023",14,"2020-03-30",32,1
"male","black","0-17","48023",14,"2020-03-30",87,3
"male","black","0-17","48023",14,"2020-03-30",15,0
"male","black","0-17","48023",14,"2020-03-30",271,11
"male","black","0-17","48023",14,"2020-03-30",16,0
"male","black","0-17","48023",14,"2020-03-30",52,1
"male","black","0-17","48023",14,"2020-03-30",42,1
"male","black","0-17","48023",14,"2020-03-30",95,4
"male","black","0-17","48023",14,"2020-03-30",21,1
"male","black","0-17","48023",14,"2020-03-30",8,1
"male","black","0-17","48025",15,"2020-04-06",13,0
"male","black","0-17","48025",15,"2020-04-06",37,1
"male","black","0-17","48025",15,"2020-04-06",6,0
"male","black","0-17","48025",15,"2020-04-06",115,2
"male","black","0-17","48025",15,"2020-04-06",7,0
"male","black","0-17","48025",15,"2020-04-06",22,0
"male","black","0-17","48025",15,"2020-04-06",17,0
"male","black","0-17","48025",15,"2020-04-06",40,0
"male","black","0-17","48025",15,"2020-04-06",9,0
"male","black","0-17","48025",15,"2020-04-06",3,0
"male","black","0-17","48026",16,"2020-04-13",15,1
"male","black","0-17","48026",16,"2020-04-13",40,0
"male","black","0-17","48026",16,"2020-04-13",7,0
"male","black","0-17","48026",16,"2020-04-13",126,0
"male","black","0-17","48026",16,"2020-04-13",7,0
"male","black","0-17","48026",16,"2020-04-13",24,0
"male","black","0-17","48026",16,"2020-04-13",19,0
"male","black","0-17","48026",16,"2020-04-13",44,1
"male","black","0-17","48026",16,"2020-04-13",10,0
"male","black","0-17","48026",16,"2020-04-13",3,0
"male","black","0-17","48027",17,"2020-04-20",8,0
"male","black","0-17","48027",17,"2020-04-20",22,0
"male","black","0-17","48027",17,"2020-04-20",3,0
"male","black","0-17","48027",17,"2020-04-20",71,1
"male","black","0-17","48027",17,"2020-04-20",4,0
"male","black","0-17","48027",17,"2020-04-20",13,0
"male","black","0-17","48027",17,"2020-04-20",11,0
"male","black","0-17","48027",17,"2020-04-20",25,0
"male","black","0-17","48027",17,"2020-04-20",5,0
"male","black","0-17","48027",17,"2020-04-20",2,0
"male","black","0-17","48028",18,"2020-04-27",6,0
"male","black","0-17","48028",18,"2020-04-27",16,0
"male","black","0-17","48028",18,"2020-04-27",2,0
"male","black","0-17","48028",18,"2020-04-27",50,1
"male","black","0-17","48028",18,"2020-04-27",3,0
"male","black","0-17","48028",18,"2020-04-27",9,0
"male","black","0-17","48028",18,"2020-04-27",7,0
"male","black","0-17","48028",18,"2020-04-27",17,0
"male","black","0-17","48028",18,"2020-04-27",4,0
"male","black","0-17","48028",18,"2020-04-27",1,0
"male","black","0-17","48030",19,"2020-05-04",12,0
"male","black","0-17","48030",19,"2020-05-04",32,0
"male","black","0-17","48030",19,"2020-05-04",5,0
"male","black","0-17","48030",19,"2020-05-04",101,4
"male","black","0-17","48030",19,"2020-05-04",6,0
"male","black","0-17","48030",19,"2020-05-04",19,2
"male","black","0-17","48030",19,"2020-05-04",15,2
"male","black","0-17","48030",19,"2020-05-04",35,1
"male","black","0-17","48030",19,"2020-05-04",8,0
"male","black","0-17","48030",19,"2020-05-04",3,0
"male","black","0-17","48032",20,"2020-05-11",5,2
"male","black","0-17","48032",20,"2020-05-11",14,0
"male","black","0-17","48032",20,"2020-05-11",2,0
"male","black","0-17","48032",20,"2020-05-11",43,2
"male","black","0-17","48032",20,"2020-05-11",2,0
"male","black","0-17","48032",20,"2020-05-11",8,0
"male","black","0-17","48032",20,"2020-05-11",6,1
"male","black","0-17","48032",20,"2020-05-11",15,1
"male","black","0-17","48032",20,"2020-05-11",3,0
"male","black","0-17","48032",20,"2020-05-11",1,0
"male","black","0-17","48033",21,"2020-05-18",4,0
"male","black","0-17","48033",21,"2020-05-18",11,0
"male","black","0-17","48033",21,"2020-05-18",2,0
"male","black","0-17","48033",21,"2020-05-18",36,0
"male","black","0-17","48033",21,"2020-05-18",2,0
"male","black","0-17","48033",21,"2020-05-18",7,0
"male","black","0-17","48033",21,"2020-05-18",5,0
"male","black","0-17","48033",21,"2020-05-18",12,0
"male","black","0-17","48033",21,"2020-05-18",2,0
"male","black","0-17","48033",21,"2020-05-18",1,0
"male","black","0-17","48034",22,"2020-05-25",3,0
"male","black","0-17","48034",22,"2020-05-25",9,0
"male","black","0-17","48034",22,"2020-05-25",1,0
"male","black","0-17","48034",22,"2020-05-25",29,0
"male","black","0-17","48034",22,"2020-05-25",1,0
"male","black","0-17","48034",22,"2020-05-25",5,0
"male","black","0-17","48034",22,"2020-05-25",4,0
"male","black","0-17","48034",22,"2020-05-25",10,0
"male","black","0-17","48034",22,"2020-05-25",2,0
"male","black","0-17","48035",23,"2020-06-01",5,0
"male","black","0-17","48035",23,"2020-06-01",16,0
"male","black","0-17","48035",23,"2020-06-01",2,0
"male","black","0-17","48035",23,"2020-06-01",50,0
"male","black","0-17","48035",23,"2020-06-01",3,0
"male","black","0-17","48035",23,"2020-06-01",9,0
"male","black","0-17","48035",23,"2020-06-01",7,0
"male","black","0-17","48035",23,"2020-06-01",17,0
"male","black","0-17","48035",23,"2020-06-01",4,0
"male","black","0-17","48035",23,"2020-06-01",1,0
"male","black","0-17","48036",24,"2020-06-08",6,0
"male","black","0-17","48036",24,"2020-06-08",17,0
"male","black","0-17","48036",24,"2020-06-08",3,0
"male","black","0-17","48036",24,"2020-06-08",55,1
"male","black","0-17","48036",24,"2020-06-08",3,0
"male","black","0-17","48036",24,"2020-06-08",10,0
"male","black","0-17","48036",24,"2020-06-08",8,0
"male","black","0-17","48036",24,"2020-06-08",19,0
"male","black","0-17","48036",24,"2020-06-08",4,0
"male","black","0-17","48036",24,"2020-06-08",1,0
"male","black","0-17","48037",25,"2020-06-15",4,0
"male","black","0-17","48037",25,"2020-06-15",13,0
"male","black","0-17","48037",25,"2020-06-15",2,0
"male","black","0-17","48037",25,"2020-06-15",40,0
"male","black","0-17","48037",25,"2020-06-15",2,2
"male","black","0-17","48037",25,"2020-06-15",7,0
"male","black","0-17","48037",25,"2020-06-15",6,0
"male","black","0-17","48037",25,"2020-06-15",14,0
"male","black","0-17","48037",25,"2020-06-15",3,0
"male","black","0-17","48037",25,"2020-06-15",1,0
"male","black","0-17","48038",26,"2020-06-22",1,0
"male","black","0-17","48038",26,"2020-06-22",4,0
"male","black","0-17","48038",26,"2020-06-22",13,1
"male","black","0-17","48038",26,"2020-06-22",2,0
"male","black","0-17","48038",26,"2020-06-22",2,0
"male","black","0-17","48038",26,"2020-06-22",4,0
"male","black","0-17","48038",26,"2020-06-22",1,0
